"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
52.431805,43.703987,42.86692,39.971893,52.712551,30.767841,27.26494,44.408665,47.227554,49.160358,44.516521,57.638332,37.813259,64.515282,21.761301,32.639652,44.717773,44.181694,18.278507,41.667122,23.406631,6.288751,26.701267,8.885884,53.259388,63.269123,40.291439,63.759724,32.941029,73.40387,24.562742,46.24725
53.148964,44.544701,43.709705,40.132252,51.162857,29.402893,27.500742,43.827991,42.884216,49.328785,44.705078,55.280674,37.837158,65.580498,21.494337,35.372112,45.882751,45.210312,18.507854,41.607597,23.944675,6.273528,26.674648,8.96588,53.245213,63.410042,40.587849,63.976086,35.15876,73.351761,25.541143,47.052589
53.84911,45.357395,44.576389,40.276051,49.383675,28.109707,27.735239,43.024162,38.207817,49.462624,44.90691,50.543842,37.82262,66.542976,21.24494,38.003208,47.085079,46.252594,18.710814,41.518898,24.522478,6.254622,26.641352,9.049399,53.21545,63.537064,40.86042,64.17868,37.627613,73.232338,26.646578,47.903553
54.534828,46.144066,45.466923,40.403137,47.371082,26.944551,27.955,41.935276,33.524364,49.554348,45.123463,44.052898,37.778778,67.395126,21.040062,40.342812,48.312588,47.307819,18.911438,41.414635,25.137308,6.22757,26.610476,9.132455,53.170532,63.65369,41.12196,64.378456,40.199677,73.046959,27.834816,48.793388
55.208611,46.910938,46.376923,40.51601,45.138409,25.974176,28.154943,40.525551,29.313461,49.601723,45.35511,36.720776,37.716446,68.127975,20.895018,42.224926,49.555233,48.374817,19.130102,41.305626,25.785099,6.189644,26.591366,9.212422,53.111012,63.762405,41.393845,64.586143,42.704926,72.796272,29.054796,49.713524
55.871399,47.671982,47.298843,40.619942,42.716301,25.272547,28.334494,38.791668,26.111879,49.609859,45.600861,29.608322,37.645615,68.730888,20.820448,43.520218,50.805801,49.451305,19.376183,41.190563,26.460564,6.143161,26.590578,9.288404,53.03756,63.864536,41.693222,64.81012,44.968544,72.479599,30.27235,50.654957
56.52261,48.447117,48.225239,40.722233,40.153553,24.915125,28.497353,36.76429,24.361992,49.589905,45.857292,23.72142,37.573807,69.195648,20.825388,44.143272,52.059967,50.533649,19.648762,41.058113,27.156015,6.097261,26.609865,9.360725,52.950954,63.960354,42.02338,65.05529,46.825916,72.094917,31.484928,51.609779
57.160683,49.25383,49.148266,40.830063,37.519466,24.971003,28.651466,34.512074,24.272148,49.555122,46.118084,19.795019,37.505611,69.515556,20.911352,44.053963,53.314884,51.617073,19.940416,40.895222,27.862425,6.065244,26.646017,9.430529,52.852089,64.0495,42.375851,65.323097,48.134193,71.639488,32.715237,52.572334
57.783268,50.099102,50.053455,40.947884,34.905445,25.493252,28.804882,32.14447,25.738171,49.517456,46.375141,18.127752,37.443035,69.68232,21.066301,43.254528,54.566284,52.69627,20.240934,40.693867,28.574579,6.057358,26.693237,9.499497,52.741928,64.131577,42.737984,65.612038,48.781895,71.11097,33.994709,53.539581
58.38736,50.977493,50.916752,41.076168,32.423126,26.508387,28.957369,29.804075,28.347847,49.486355,46.620651,18.536177,37.386005,69.690987,21.266273,41.785385,55.805233,53.766281,20.542276,40.45454,29.294466,6.075387,26.747265,9.569763,52.621502,64.206421,43.09898,65.918289,48.697392,70.508514,35.339798,54.510429
