"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
NA,38.161896,NA,NA,25.687046,17.765553,54.103996,15.088749,35.997829,33.348866,NA,NA,NA,54.569756,NA,71.189926,NA,NA,NA,NA,NA,22.732538,50.691765,34.440117,NA,9.991213,NA,31.635342,15.137664,21.554522,28.828545,11.15635,34.93195,29.502611,11.186161,48.808819
NA,37.959423,NA,NA,25.585356,17.720987,54.150074,15.059945,36.082237,33.270168,NA,NA,NA,54.470291,NA,71.227135,NA,NA,NA,NA,NA,22.682724,51.034222,34.207878,NA,10.062763,NA,31.188894,15.258664,21.384954,28.576065,11.320785,35.057362,29.493849,11.133765,49.163059
NA,37.756851,NA,NA,25.481619,17.678324,54.187359,15.070068,36.1749,33.143524,NA,NA,NA,54.349274,NA,71.262245,NA,NA,NA,NA,NA,22.631182,51.333164,33.944736,NA,10.134323,NA,30.744095,15.413676,21.225668,28.3374,11.489627,35.19656,29.483524,11.093307,49.450886
NA,37.55323,NA,NA,25.375614,17.637413,54.216331,15.117996,36.27615,32.97567,NA,NA,NA,54.209156,NA,71.294701,NA,NA,NA,NA,NA,22.578394,51.589588,33.656181,NA,10.204633,NA,30.301575,15.601356,21.076044,28.110741,11.662683,35.345932,29.47155,11.065554,49.661663
NA,37.34779,NA,NA,25.267181,17.598238,54.237465,15.201467,36.386055,32.775143,NA,NA,NA,54.052357,NA,71.323959,NA,NA,NA,NA,NA,22.524773,51.804543,33.34816,NA,10.27246,NA,29.862169,15.819116,20.935007,27.893677,11.839768,35.502552,29.45789,11.050763,49.786854
NA,37.13995,NA,NA,25.156212,17.560911,54.251041,15.31699,36.504322,32.551998,NA,NA,NA,53.881138,NA,71.349525,NA,NA,NA,NA,NA,22.47065,51.979206,33.0266,NA,10.336621,NA,29.427011,16.063196,20.801104,27.683342,12.020645,35.664257,29.442579,11.048696,49.820484
NA,36.929344,NA,NA,25.042654,17.52565,54.257065,15.459911,36.63023,32.317451,NA,NA,NA,53.697498,NA,71.370941,NA,NA,NA,NA,NA,22.416254,52.114952,32.69698,NA,10.395998,NA,28.997587,16.328791,20.672604,27.476576,12.204978,35.82959,29.425709,11.058657,49.759529
NA,36.715809,NA,NA,24.926502,17.492765,54.255157,15.624595,36.762585,32.083393,NA,NA,NA,53.50312,NA,71.387871,NA,NA,NA,NA,NA,22.361715,52.213436,32.364006,NA,10.449547,NA,28.575769,16.610235,20.547611,27.270054,12.39232,35.997639,29.407429,11.079558,49.604244
NA,36.499386,NA,NA,24.807793,17.46261,54.244568,15.804697,36.899754,31.861835,NA,NA,NA,53.299339,NA,71.400047,NA,NA,NA,NA,NA,22.307051,52.276615,32.031483,NA,10.496318,NA,28.163784,16.901241,20.424173,27.060423,12.582105,36.167847,29.387943,11.110002,49.358395
NA,36.280273,NA,NA,24.686607,17.435549,54.224239,15.993484,37.039738,31.664362,NA,NA,NA,53.087132,NA,71.407326,NA,NA,NA,NA,NA,22.252165,52.306713,31.702351,NA,10.535455,NA,27.764145,17.195154,20.300407,26.844402,12.773661,36.33979,29.367483,11.148373,49.029297
NA,36.058815,NA,NA,24.563074,17.411909,54.192913,16.184139,37.18026,31.501617,NA,NA,NA,52.867153,NA,71.409637,NA,NA,NA,NA,NA,22.196833,52.306129,31.378868,NA,10.566194,NA,27.379541,17.485228,20.174599,26.618893,12.966219,36.513004,29.346302,11.192943,48.627758
NA,35.835434,NA,NA,24.437355,17.391956,54.149307,16.370058,37.318916,31.382898,NA,NA,NA,52.639763,NA,71.406998,NA,NA,NA,NA,NA,22.140717,52.277267,31.062948,NA,10.587864,NA,27.012674,17.764885,20.045317,26.381077,13.158918,36.686848,29.324656,11.241977,48.167725
NA,35.6106,NA,NA,24.30966,17.375879,54.092232,16.545065,37.453304,31.315849,NA,NA,NA,52.40509,NA,71.399498,NA,NA,NA,NA,NA,22.083361,52.222359,30.756506,NA,10.599889,NA,26.666067,18.027948,19.911478,26.1285,13.350813,36.860443,29.30278,11.293823,47.665771
NA,35.384769,NA,NA,24.180244,17.363783,54.020741,16.703604,37.581154,31.306303,NA,NA,NA,52.16309,NA,71.387276,NA,NA,NA,NA,NA,22.024206,52.143276,30.461809,NA,10.601793,NA,26.34189,18.268827,19.772404,25.859152,13.540874,37.032673,29.280888,11.34701,47.140324
