"X231_hop_R_01.c3d.11","X238_hop_R_01.c3d.11","X250_hop_R_01.c3d.11","X253_hop_R_01.c3d.11","X263_Hop_L_01.c3d.11","X278_hop_R_01.c3d.11","X281_hop_R_01.c3d.11","X283_Hop_L_01.c3d.11","X285_Hop_R_01.c3d.11","X286_hop_L_01.c3d.11","X300_hop_R_01.c3d.11","X302_hop_L_01.c3d.11","X305_hop_R_01.c3d.11","X306_hop_L_01.c3d.11","X309_hop_L_01.c3d.11","X310_hop_R_01.c3d.11","X312_hop_R_01.c3d.11","X318_hop_R_01.c3d.11","X321_hop_R_01.c3d.11","X326_hop_L_01.c3d.11","X328_hop_R_01.c3d.11","X337_hop_R_01.c3d.11","X340_hop_L_01.c3d.11","X341_hop_R_01.c3d.11","X342_hop_L_01.c3d.11","X343_Hop_L_01.c3d.11","X346_Hop_R_01.c3d.11","X354_hop_R_01.c3d.11","X361_hop_R_01.c3d.11","X368_hop_R_01.c3d.11","X399_hop_R_01.c3d.11","X402_hop_R_01.c3d.11"
16.793774,19.881767,17.227623,17.673632,15.299841,30.995825,33.810001,24.981236,24.409863,36.099655,29.415775,32.392826,19.849443,17.957184,23.143393,6.514441,11.292572,18.422968,11.799797,16.158022,17.460419,5.964428,19.018286,6.45321,20.849812,31.542971,21.221508,13.592998,11.917366,12.104817,7.823957,43.468712
16.817383,19.992794,17.248821,17.658533,15.446111,30.978546,33.825104,25.025536,24.49789,36.220657,29.38286,32.376404,19.912197,17.981976,23.21521,6.568878,11.3291,18.511543,11.773129,16.213978,17.437885,5.973317,19.088043,6.456567,20.97226,31.675451,21.234409,13.662936,11.940666,12.100405,7.819507,43.523895
16.841261,20.104351,17.268759,17.644119,15.594743,30.958788,33.840759,25.074432,24.582354,36.340092,29.349693,32.359123,19.970892,18.005215,23.290987,6.62348,11.365472,18.597763,11.74522,16.273989,17.414454,5.982605,19.158014,6.45959,21.101761,31.809898,21.247105,13.733912,11.962869,12.095068,7.814426,43.574268
16.865334,20.216574,17.287062,17.630262,15.745389,30.936728,33.856953,25.127792,24.663223,36.457966,29.316774,32.341305,20.025494,18.026781,23.370346,6.678376,11.401816,18.681358,11.71622,16.338148,17.390621,5.991853,19.228539,6.462114,21.238886,31.94631,21.259476,13.805617,11.983996,12.088841,7.808973,43.620064
16.889557,20.32958,17.303358,17.616844,15.897717,30.912525,33.87368,25.185284,24.740543,36.574493,29.284555,32.32325,20.075994,18.0466,23.452848,6.733697,11.438293,18.762136,11.686288,16.406569,17.366978,6.00063,19.29987,6.463993,21.384138,32.084667,21.271381,13.877734,12.00413,12.081813,7.803413,43.661598
16.913897,20.44347,17.317305,17.603765,16.051405,30.886297,33.890945,25.246401,24.814445,36.690132,29.253426,32.305222,20.122425,18.064661,23.538006,6.789536,11.475077,18.84,11.655617,16.479385,17.344164,6.008536,19.372143,6.465106,21.537943,32.224934,21.282661,13.949947,12.023423,12.074118,7.798007,43.699234
16.938326,20.558296,17.328596,17.590939,16.206144,30.858101,33.908745,25.310505,24.885115,36.805599,29.223698,32.287457,20.164871,18.081009,23.625338,6.845921,11.512342,18.914946,11.62444,16.556759,17.322803,6.015217,19.44536,6.465372,21.700621,32.367043,21.293144,14.021941,12.042092,12.065938,7.792995,43.73336
16.962816,20.674078,17.33699,17.578293,16.361631,30.827934,33.927078,25.376867,24.952803,36.921833,29.195606,32.270138,20.203482,18.095757,23.714388,6.902799,11.550247,18.987059,11.593051,16.638876,17.30345,6.020384,19.519405,6.464743,21.872377,32.510918,21.302649,14.093412,12.060419,12.057491,7.788597,43.76437
16.987339,20.790783,17.342312,17.565781,16.51757,30.795729,33.945927,25.444702,25.01779,37.039974,29.169331,32.25341,20.238482,18.109079,23.804754,6.960044,11.588918,19.056509,11.561807,16.725946,17.286549,6.023818,19.594059,6.463209,22.053291,32.656467,21.310995,14.164076,12.078729,12.049025,7.785005,43.792633
17.011869,20.908339,17.344471,17.553375,16.673668,30.761362,33.965252,25.513214,25.080381,37.161297,29.145012,32.237381,20.270159,18.121204,23.896109,7.017494,11.628435,19.12355,11.531137,16.818188,17.272409,6.025381,19.669054,6.460791,22.243305,32.803616,21.318016,14.233668,12.097378,12.040807,7.782387,43.818508
