"X2001_hop_L_01.c3d.11","X2002_hop_L_01.c3d.11","X2004_hop_L_01.c3d.11","X2005_hop_L_01.c3d.11","X2006_hop_L_01.c3d.11","X2007_hop_L_01.c3d.11","X2008_hop_L_01.c3d.11","X2009_hop_L_01.c3d.11","X2010_hop_L_01.c3d.11","X2011_hop_L_01.c3d.11","X2012_hop_L_01.c3d.11","X2013_hop_L_01.c3d.11","X2014_hop_L_01.c3d.11","X2015_hop_L_01.c3d.11","X2016_hop_L_01.c3d.11","X2017_hop_L_01.c3d.11","X2018_hop_L_01.c3d.11","X2019_hop_L_01.c3d.11","X2020_hop_L_01.c3d.11","X2021_hop_L_01.c3d.11","X2022_hop_L_01.c3d.11","X2023_hop_L_01.c3d.11","X2024_hop_L_01.c3d.11","X2025_hop_L_01.c3d.11","X2026_hop_L_01.c3d.11","X2027_hop_R_01.c3d.11","X2028_hop_L_01.c3d.11","X2029_hop_L_01.c3d.11","X2030_hop_L_01.c3d.11","X2031_hop_L_01.c3d.11","X2032_hop_L_01.c3d.11","X2034_hop_L_01.c3d.11"
52.280079,42.882149,64.248924,20.402267,56.697567,58.19072,13.957222,47.899342,67.605545,56.111107,38.498276,33.577419,41.900673,24.364304,46.725788,62.566769,51.341057,38.896606,63.886715,51.207767,58.446846,19.582184,16.984516,58.337379,56.645538,64.799461,44.85181,26.391321,28.10578,16.581518,50.407852,10.078193
51.489147,42.815216,64.365303,20.472488,57.356472,58.329567,15.362357,47.639832,68.194504,56.43959,38.556446,35.005581,42.710972,26.026226,46.6474,61.931324,53.307766,37.042961,63.092266,51.412014,58.456524,20.227182,15.479602,57.978954,56.820709,64.719193,46.346867,25.015694,30.028734,16.742414,49.595905,9.261098
50.642612,42.747604,64.485512,20.542433,57.965839,58.463303,16.869469,47.330318,68.759598,56.76524,38.615677,36.454372,43.534897,27.727745,46.56522,61.243526,55.152134,35.117657,62.261314,51.617424,58.465656,21.008348,14.090229,57.591454,56.984837,64.60643,47.765045,23.656437,32.028133,16.886021,48.736931,8.524179
49.736889,42.679054,64.609459,20.612141,58.532692,58.591522,18.466909,46.966602,69.301514,57.087814,38.675888,37.915966,44.358753,29.459936,46.479343,60.503067,56.860168,33.145363,61.397339,51.824364,58.473698,21.930578,12.827842,57.172951,57.137482,64.4655,49.096706,22.326359,34.088089,17.009512,47.832001,7.875787
48.768723,42.609276,64.736885,20.681705,59.06282,58.713749,20.142685,46.544395,69.820702,57.406986,38.736935,39.380661,45.169144,31.212263,46.389889,59.709877,58.420601,31.151218,60.504337,52.03336,58.480293,22.998299,11.702143,56.72147,57.27837,64.299797,50.334835,21.036901,36.191334,17.114742,46.88306,7.323871
47.735332,42.537983,64.867424,20.751274,59.560715,58.829433,21.884901,46.059471,70.317482,57.722328,38.798653,40.837345,45.953274,32.972885,46.296993,58.864056,59.824608,29.160488,59.5868,52.245045,58.485302,24.214045,10.721068,56.235043,57.407394,64.111908,51.475079,19.79818,38.319283,17.205507,45.892979,6.875816
46.634533,42.464928,65.000511,20.821068,60.02961,58.937954,23.682135,45.507843,70.792053,58.033337,38.860867,42.27417,46.699257,34.729183,46.200806,57.965866,61.065487,27.198242,58.649788,52.46014,58.488766,25.57703,9.890796,55.71183,57.524574,63.903641,52.515549,18.619123,40.452309,17.285841,44.865608,6.538264
45.464905,42.389942,65.135452,20.891386,60.471622,59.038631,25.52363,44.885944,71.244522,58.339424,38.923412,43.679287,47.396332,36.468391,46.101486,57.015697,62.138313,25.289036,57.699059,52.679379,58.490902,27.081964,9.215782,55.150211,57.630043,63.676189,53.456486,17.507622,42.570236,17.359146,43.805824,6.316958
44.225925,42.312962,65.271408,20.962606,60.887951,59.130745,27.399256,44.190834,71.67495,58.639984,38.986176,45.041534,48.035015,38.178295,45.999203,56.014137,63.039577,23.456587,56.741253,52.903507,58.492023,28.718374,8.698836,54.548931,57.723995,63.430202,54.29982,16.470726,44.653107,17.427881,42.719524,6.216622
42.918152,42.234055,65.407356,21.035187,61.279064,59.213566,29.299265,43.420372,72.083344,58.934399,39.04911,46.350998,48.607155,39.847786,45.894127,54.962021,63.766838,21.723429,55.784111,53.133232,58.492512,30.470592,8.341212,53.9072,57.806637,63.165905,55.048813,15.514791,46.681976,17.493624,41.613663,6.24086
41.543434,42.153461,65.542152,21.109663,61.644947,59.286407,31.21389,42.573421,72.469658,59.222065,39.112232,47.59938,49.105923,41.467327,45.78643,53.860512,64.318413,20.110548,54.836693,53.369194,58.492767,32.318501,8.142738,53.224854,57.878143,62.883148,55.707726,14.64557,48.639778,17.557278,40.496246,6.392116
40.105183,42.07156,65.674469,21.186649,61.985291,59.348648,33.132912,41.650002,72.833778,59.502445,39.175648,48.780178,49.525688,43.029121,45.676285,52.711254,64.693146,18.637032,53.909557,53.611977,58.493164,34.238918,8.101971,52.502441,57.938599,62.581436,56.281601,13.868223,50.511997,17.619329,39.376328,6.671674
38.608685,41.988861,65.802879,21.266823,62.299679,59.399776,35.045296,40.651428,73.175545,59.775063,39.239544,49.888687,49.861904,44.527126,45.563828,51.516457,64.890198,17.3197,53.014839,53.862087,58.494049,36.207336,8.21637,51.741344,57.987988,62.259888,56.776112,13.187274,52.287132,17.680098,38.264008,7.079711
37.061481,41.905964,65.925827,21.350935,62.587738,59.439396,36.939049,39.580437,73.494728,60.039528,39.304176,50.92189,50.110931,45.956833,45.449181,50.279057,64.909004,16.172817,52.166222,54.119942,58.495701,38.199669,8.482496,50.943787,58.026138,61.91713,57.197433,12.60652,53.956898,17.739899,37.17041,7.615422
35.473724,41.823513,66.041687,21.439779,62.849232,59.467258,38.80127,38.441257,73.7911,60.295536,39.369869,51.878288,50.269905,47.315014,45.332401,49.002831,64.749237,15.207829,51.378735,54.385849,58.498329,40.193626,8.896235,50.112862,58.052738,61.551136,57.552151,12.128933,55.516148,17.799162,36.10762,8.277184
33.858456,41.742126,66.148766,21.534184,63.084126,59.483238,40.618507,37.239681,74.064453,60.542892,39.436977,52.757641,50.336647,48.599377,45.213501,47.692459,64.410896,14.433203,50.66843,54.659977,58.502029,42.16951,9.453028,49.252453,58.067333,61.159077,57.847122,11.756602,56.962624,17.858469,35.0886,9.062768
