"X004_hop_L_01.c3d.11","X008_hop_R_01.c3d.11","X009_Hop_L_01.c3d.11","X012_hop_L_01.c3d.11","X015_Hop_R_01.c3d.11","X016_Hop_R_01.c3d.11","X017_hop_L_01.c3d.11","X018_hop_R_01.c3d.11","X019_hop_L_01.c3d.11","X021_Hop_L_01.c3d.11","X027_hop_R_01.c3d.11","X028_Hop_L_01.c3d.11","X033_hop_R_01.c3d.11","X035_Hop_R_01.c3d.11","X036_Hop_L_01.c3d.11","X037_hop_R_01.c3d.11","X049_hop_R_01.c3d.11","X052_Hop_R_01.c3d.11","X053_hop_L_01.c3d.11","X068_hop_R_01.c3d.11","X070_hop_R_01.c3d.11","X073_hop_R_01.c3d.11","X075_hop_L_01.c3d.11","X080_hop_L_01.c3d.11","X086_Hop_R_01.c3d.11","X092_hop_R_01.c3d.11","X100_hop_R_01.c3d.11","X103_hop_R_01.c3d.11","X111_hop_L_01.c3d.11","X118_hop_R_01.c3d.11","X119_hop_R_01.c3d.11","X128_hop_R_01.c3d.11","X130_Hop_L_01.c3d.11","X149_hop_R_01.c3d.11","X155_hop_R_01.c3d.11","X329_hop_L_01.c3d.11"
14.761095,22.630878,17.42326,26.013321,17.34803,29.164894,11.649425,8.863668,27.843002,34.464039,38.262943,10.033832,7.046903,12.444892,10.758863,17.415632,16.640093,20.087334,13.97892,32.394913,27.313795,40.266167,30.22463,13.917762,34.306499,8.008339,26.523182,12.839014,16.120756,18.362074,13.199329,27.932743,5.490599,30.859365,18.886633,9.480755
14.773935,22.718723,17.624842,26.057196,17.345686,29.307083,11.784977,8.930171,27.849211,34.545448,38.436245,10.115741,7.084007,12.473887,10.775284,17.581005,16.820637,20.28553,14.110424,32.436314,27.469109,39.639908,30.237299,13.921266,34.149792,7.992544,26.620872,12.939647,16.234213,18.470697,13.208146,27.869801,5.682847,30.769695,19.06547,9.541583
14.788815,22.788223,17.85335,26.09816,17.343424,29.445066,11.915205,8.994441,27.825193,34.631073,38.592957,10.187847,7.118108,12.496852,10.809768,17.72357,17.021564,20.489567,14.228197,32.468494,27.615774,38.994862,30.276733,13.88967,33.952656,7.967484,26.722193,13.05043,16.294018,18.547968,13.217452,27.786028,5.868046,30.677458,19.209072,9.596633
14.804319,22.844345,18.109613,26.137259,17.341021,29.581749,12.031796,9.050496,27.774925,34.721214,38.732826,10.247789,7.151656,12.513322,10.867615,17.853985,17.244976,20.698004,14.333944,32.493893,27.755035,38.353924,30.318567,13.836209,33.715347,7.931585,26.826956,13.170725,16.305927,18.59572,13.227838,27.688614,6.043955,30.588934,19.32482,9.641781
14.818555,22.891916,18.392656,26.174297,17.338282,29.725039,12.130072,9.093846,27.704752,34.816692,38.856026,10.292625,7.189541,12.523415,10.953531,17.979538,17.492691,20.909338,14.428292,32.514351,27.888008,37.739506,30.343369,13.773465,33.438766,7.884942,26.934982,13.299851,16.289289,18.617035,13.23993,27.583437,6.208987,30.511541,19.421255,9.673839
14.829742,22.933851,18.699986,26.207561,17.335148,29.888443,12.207014,9.123117,27.622606,34.917233,38.962574,10.318911,7.237879,12.527873,11.070919,18.102203,17.76573,21.121864,14.510778,32.530727,28.01548,37.173065,30.345093,13.707401,33.12431,7.82928,27.046116,13.436873,16.273146,18.618061,13.254263,27.474695,6.362194,30.454489,19.50403,9.689356
14.836571,22.970741,19.027979,26.233892,17.331816,30.090155,12.258677,9.141844,27.53689,35.020477,39.051758,10.323241,7.302454,12.528032,11.221267,18.219315,18.063477,21.33379,14.580178,32.542988,28.1374,36.675632,30.333729,13.638765,32.773899,7.768473,27.160219,13.580425,16.285757,18.60891,13.271133,27.365278,6.50311,30.426662,19.57164,9.684031
14.838326,23.001995,19.372175,26.249525,17.328783,30.350746,12.281426,9.157975,27.455227,35.122746,39.121696,10.303204,7.387563,12.525629,11.403899,18.325066,18.382849,21.543673,14.635047,32.550625,28.252384,36.26672,30.329418,13.571027,32.390125,7.708382,27.277191,13.728669,16.346056,18.601799,13.290486,27.257496,6.631628,30.432177,19.618166,9.654822
14.834964,23.027653,19.72776,26.251719,17.326731,30.690081,12.276783,9.180724,27.383371,35.221043,39.169285,10.258566,7.495581,12.522464,11.616237,18.41164,18.718065,21.750877,14.674555,32.553272,28.357796,35.961689,30.352837,13.5171,31.976446,7.655371,27.396961,13.879356,16.459402,18.607307,13.311897,27.153584,6.747995,30.466366,19.640553,9.602478
14.82718,23.049664,20.090557,26.240343,17.326286,31.124098,12.254955,9.217772,27.324594,35.314713,39.190605,10.192372,7.626942,12.520041,11.854376,18.470881,19.061144,21.95569,14.699503,32.55122,28.450634,35.770493,30.414507,13.492541,31.537123,7.613991,27.519491,14.029887,16.612816,18.631769,13.33466,27.056004,6.852924,30.515738,19.639679,9.531868
14.816483,23.072069,20.458408,26.218241,17.327858,31.661959,12.231578,9.274126,27.27968,35.405197,39.181549,10.111341,7.780122,12.519358,12.113639,18.496616,19.402946,22.158958,14.713135,32.54546,28.52882,35.696976,30.506544,13.503367,31.076773,7.585001,27.644793,14.177428,16.774637,18.675987,13.357939,26.967611,6.947696,30.564289,19.614248,9.450377
14.805264,23.100182,20.832224,26.190046,17.33157,32.304073,12.219671,9.352386,27.247271,35.494236,39.138454,10.024958,7.951498,12.52089,12.389075,18.486069,19.734512,22.361542,14.721369,32.537327,28.592409,35.737522,30.604462,13.542862,30.599798,7.564835,27.77294,14.31918,16.911173,18.732912,13.380948,26.891563,7.03419,30.602121,19.558405,9.366147
14.796929,23.139414,21.215887,26.160332,17.337267,33.041954,12.22482,9.452487,27.224283,35.582245,39.058765,9.943187,8.135345,12.52477,12.676223,18.4405,20.048409,22.564009,14.732291,32.527977,28.64427,35.880711,30.67868,13.597031,30.10998,7.546856,27.904095,14.452895,17.00757,18.786068,13.403095,26.831036,7.114872,30.629572,19.468206,9.286771
14.796039,23.194235,21.614946,26.132345,17.344582,33.860779,12.246971,9.569889,27.206474,35.667957,38.941601,9.873788,8.324245,12.531044,12.972151,18.366131,20.33988,22.766684,14.755123,32.518318,28.689989,36.108883,30.707621,13.65379,29.610315,7.52406,28.038528,14.577458,17.069998,18.813179,13.424077,26.788637,7.192766,30.654669,19.347424,9.217468
14.808313,23.267385,22.034718,26.108034,17.353048,34.743744,12.284477,9.695917,27.189291,35.749802,38.787964,9.820525,8.509946,12.539868,13.276354,18.274446,20.607546,22.969957,14.798948,32.509338,28.736954,36.400066,30.684412,13.71129,29.103216,7.491796,28.176619,14.693184,17.113657,18.795855,13.443918,26.765524,7.271355,30.684343,19.205214,9.159281
14.840335,23.35915,22.478636,26.089048,17.362207,35.675526,12.335176,9.822469,27.16894,35.828461,38.600464,9.782996,8.684401,12.551461,13.591038,18.180225,20.853657,23.17457,14.871414,32.502483,28.792892,36.729897,30.615644,13.778185,28.59096,7.448926,28.318836,14.801675,17.150074,18.729595,13.46295,26.760921,7.35432,30.71772,19.050306,9.109081
14.898797,23.466585,22.947453,26.077971,17.371704,36.643456,12.396102,9.945834,27.143282,35.908466,38.382607,9.758034,8.840751,12.565789,13.920831,18.097599,21.083813,23.38167,14.977381,32.499767,28.864367,37.07378,30.515993,13.864496,28.076141,7.397515,28.4657,14.905392,17.181492,18.627251,13.481715,26.772648,7.445145,30.748936,18.88789,9.06179
14.989437,23.583088,23.439396,26.078951,17.381363,37.637363,12.464898,10.066995,27.112368,35.995697,38.137997,9.741865,8.974049,12.582173,14.272099,18.036566,21.306108,23.592691,15.11782,32.503803,28.955585,37.408337,30.400721,13.972281,27.561789,7.342033,28.617722,15.007287,17.203924,18.513765,13.500803,26.798223,7.546676,30.772936,18.72154,9.012518
15.11607,23.699038,23.950909,26.09734,17.391186,38.649139,12.541299,10.190284,27.078461,36.090992,37.86974,9.73168,9.0817,12.599113,14.651818,18.000734,21.529858,23.809246,15.289471,32.517944,29.067797,37.712204,30.27927,14.092949,27.051058,7.287691,28.775347,15.110605,17.213057,18.415125,13.520695,26.83576,7.66073,30.7875,18.55809,8.958225
15.279982,23.803947,24.477392,26.138243,17.401272,39.672386,12.624945,10.321048,27.045483,36.186195,37.58017,9.725907,9.163563,12.614516,15.066209,17.986443,21.764336,24.033045,15.48564,32.546268,29.199265,37.968273,30.153938,14.208049,26.546608,7.238125,28.9389,15.21855,17.205593,18.348017,13.541701,26.884329,7.787852,30.793751,18.408537,8.899844
15.479718,23.889467,25.013914,26.204609,17.411674,40.702091,12.711146,10.463346,27.017965,36.26804,37.270741,9.7236,9.221633,12.626311,15.519798,17.984921,22.017776,24.265749,15.697885,32.593197,29.345839,38.167431,30.022984,14.292296,26.049971,7.195589,29.108564,15.333551,17.176338,18.315432,13.563988,26.943829,7.927304,30.795967,18.281385,8.842852
